ID	优先级	议题	测试变量	适用场景	Prompt模板	示例Prompt	负面约束	观察指标	评分1-5	备注
T001	P0	情绪核心	观众感受是否明确	所有视频	情绪核心：表现{情绪}，让观众感到{感受}，画面从{起始情绪}递进到{结束情绪}	情绪核心：表现人在辽阔自然中高速穿行的自由感与史诗感，画面从贴近水面的速度感递进到海岸全景的开阔感	不要只堆砌电影感、震撼、高清等泛词	情绪是否一眼可感知；结尾是否有记忆点		最高优先级，决定全片方向
T002	P0	主体运动逻辑	主体为何运动、如何变化	动作、旅行、产品、人物	主体从{起点}向{终点}运动，速度由{变化}，环境因主体动作产生{反馈}	一艘快艇沿悬崖海岸高速前进，尾浪逐渐拉长，浪花被低角度阳光照亮，无人机因快艇加速而缓慢抬升	无漂浮感、无瞬移、无不合理变速、无主体变形	主体连续性；速度可信度；环境反馈是否自然		AI视频稳定性的核心
T003	P0	镜头路径	起点、方向、高度、距离、终点构图	航拍、一镜到底、运动镜头	镜头从{位置}开始，以{距离}跟随主体，沿{方向}移动，高度从{起始高度}升至{结束高度}，最后形成{构图}	镜头从水面上方2米低空跟随快艇尾部，保持主体位于右下三分之一，随后上升至30米，最终形成海岸、公路、村庄与海面的广角全景	无突然切镜、无抖动、无突兀高度跳跃	运镜是否连贯；终点构图是否成立		比单写航拍/推拉更有效
T004	P0	分镜节奏	每段画面的情绪功能	10秒以上视频	按时间段描述：0-3秒{建立}，3-6秒{靠近}，6-9秒{扩展}，9-12秒{揭示}，12-15秒{收束}	0-3秒低空贴水追随尾浪建立速度；3-6秒靠近岩壁强化空间压迫；6-9秒上升扩展海岸线；9-12秒揭示村庄与公路；12-15秒停在广角日落全景	无无意义镜头、无重复画面、无节奏断裂	是否有递进；每段是否承担明确任务		长视频必须拆时间段
T005	P1	光影系统	光源方向、反射、阴影、空气感	电影感、真实感	光线为{方向}，色温{冷暖}，主体边缘有{高光}，阴影落在{位置}，空气中有{介质}	低角度侧逆光照亮浪花边缘，水面出现细碎金色反光，悬崖背光面保留深蓝阴影，空气中有轻微海雾	光源方向保持一致、不过曝、无随机闪烁	光影是否统一；材质是否被光塑造		比黄金时刻更具体
T006	P1	构图层次	前景、中景、远景关系	风景、人物、产品	画面包含前景{元素}、中景{主体}、远景{背景}，通过{引导线}组织视线	前景是掠过的水面高光，中景是快艇与尾浪，远景是悬崖海岸和白色村庄，尾浪形成对角线引导至地平线	无主体过小、无画面重心混乱、无遮挡主体	画面是否有空间深度；视线是否被引导		让画面从截图变成镜头
T007	P1	场景美术	地理、建筑、材质、色彩关系	世界观、旅行、品牌片	场景为{地理类型}，包含{建筑/自然元素}，主色为{主色}，点缀色为{点缀色}	地中海式悬崖海岸，暖色石灰岩峭壁，山坡上错落白色村庄，深蓝海水与金色日照形成冷暖对比	无混乱建筑风格、无随机物体、无现代/古代冲突	世界是否可信；美术是否统一		避免只写漂亮海岸
T008	P1	摄影参数	焦段、景深、快门、稳定器	写实视频、产品视频	使用{焦段}镜头感，{景深}，{稳定方式}，运动时保留{运动模糊}	16:9电影级画幅，24mm广角感，深景深，云台稳定，快速移动时有轻微自然运动模糊	无过度鱼眼、无锐化过度、无镜头畸变	画面是否像真实摄影机拍摄		参数少而准
T009	P1	真实物理	水、烟、布料、头发、车辆等物理反馈	高速运动、自然元素	环境元素遵循真实物理：{元素}受到{力}影响，产生{反馈}	快艇切开水面形成对称V形尾浪，浪花向两侧飞溅后自然回落，水面反射随波纹细微变形	无反重力、无穿模、无水花冻结、无波纹错位	物理反馈是否可信；细节是否连续		非常影响高级感
T010	P1	声音设计	环境音、主体音、音乐递进	带音频视频	环境音为{环境}，主体音为{主体}，音乐以{配器/节奏}递进，结尾{处理}	低频海浪与高速风声铺底，快艇引擎声由近到远，弦乐逐渐铺开，最后一秒自然淡出	无突兀音效、无音乐抢画面、无声音断层	音画是否同步；声音是否增强空间感		声音会显著提高成片质感
T011	P2	人物调度	人物位置、视线、动作节拍	人物短片、广告、剧情	人物位于{位置}，视线看向{方向}，动作在{时刻}发生，与镜头形成{关系}	人物站在码头边缘看向远处快艇，镜头从背后缓慢推近，海风吹动衣摆，人物在第4秒轻微转头	无表情突变、无肢体畸形、无多余人物	动作是否克制；人物是否有戏		人物片比风景片更需要调度
T012	P2	产品呈现	产品主体、材质、使用场景	电商、品牌、产品广告	产品位于{构图位置}，材质为{材质}，通过{光线/动作}展示{卖点}	黑色运动手表贴合在冲浪者手腕上，水珠沿金属表圈滑落，侧逆光突出玻璃反射与防水质感	无品牌乱变、无文字错乱、无手指畸形	产品是否清晰；卖点是否自然出现		产品不能只当道具
T013	P2	转场方式	动作转场、遮挡转场、光线转场	多镜头视频	转场由{画面元素}自然遮挡/匹配完成，从{前镜头}过渡到{后镜头}	浪花溅起短暂遮挡画面，白色水雾消散后转为高空俯拍同一条海岸线	无硬切跳跃、无无关转场、无主体丢失	转场是否有动机；空间是否连续		少用炫技转场
T014	P2	色彩风格	调色、对比、饱和度、胶片感	风格化内容	整体调色为{色调}，对比度{程度}，肤色/主体保持{要求}，高光{处理}	超写实电影级调色，深蓝海水与暖金日照对比，保留自然肤色和浪花白色细节，高光不过曝	无过饱和、无脏灰、无塑料感、无CGI感	色彩是否服务情绪；主体是否被色彩淹没		风格要和题材匹配
T015	P2	负面约束模板	防崩坏规则	所有视频	约束：无{错误1}，无{错误2}，{连续性要求}，{真实感要求}	约束：无文字、水印、畸形主体、突然切镜、不合理变速、漂浮感、穿模、画面闪烁；光源方向保持一致；主体尺寸和方向保持连续	不要写相互矛盾的约束	崩坏率是否下降；画面是否更稳定		每条prompt都建议保留
T016	P3	一镜到底测试	连续时空、连续运镜	航拍、漫游、空间展示	单次连续镜头，无剪辑，从{A}移动到{B}，沿途依次揭示{元素列表}	15秒一镜到底无人机航拍，从快艇尾浪低空跟随开始，越过悬崖边缘，抬升揭示白色村庄、公路、海湾与日落地平线	无剪辑、无跳帧、无空间折叠	是否真正连续；空间关系是否清楚		适合测试模型运镜能力
T017	P3	慢动作测试	高速细节、材质表现	水花、布料、运动	以{慢动作倍率}呈现{瞬间}，强调{材质细节}和{光影细节}	高速水花以轻微慢动作飞溅，阳光穿过水雾形成透明边缘，水滴在空中短暂闪烁后落回海面	无凝固不动、无液体变成固体、无重复粒子	慢动作是否自然；细节是否高级		适合材质和物理测试
T018	P3	竖屏适配	9:16构图、安全区、主体比例	短视频平台	9:16竖屏，主体保持在中下三分之一，顶部留出环境空间，关键内容避开字幕区	9:16竖屏航拍，快艇位于画面下方三分之一，尾浪向上延伸形成引导线，远处悬崖和日落占据上半部分	无主体贴边、无重要内容被UI遮挡	移动端观看是否清楚；主体是否足够大		同一prompt需单独测竖屏
T019	P3	评分维度	统一评估标准	所有测试	从{维度}打分，记录失败原因和可复用表达	评分：情绪清晰度、主体连续性、运镜稳定性、光影一致性、物理真实感、构图层次、可复用性	不要只写好看/不好看	每条prompt是否可比较		建议每次生成后补分
T020	P3	最终整合模板	高质量综合prompt	正式出片	{规格}+{情绪核心}+{主体场景}+{运动逻辑}+{镜头路径}+{分时段}+{光影}+{构图}+{声音}+{约束}	15秒，16:9，单次连续无人机航拍；情绪核心是自由与史诗感；快艇沿地中海悬崖海岸高速前进，尾浪形成对角线；镜头从水面2米低空跟随并逐渐升至30米；0-3秒建立速度，3-6秒靠近岩壁，6-9秒抬升扩展空间，9-12秒揭示村庄与公路，12-15秒停在日落广角全景；低角度侧逆光，水面金色反光，轻微海雾；海浪、风声与低沉弦乐递进；无文字水印、无抖动、无CGI感、光源方向一致	无相互矛盾、无过度堆叠、无空泛形容词	综合质量；复用效率；生成稳定性		可作为正式prompt骨架
